product_title,product_page_url,full_price,product_description,brand,category,competence_date,image_url
Dior Rouge Dior Lip Balm - Macy's,https://www.macys.com/shop/product/dior-rouge-dior-lip-balm?ID=17422583,$49.00,The first Rouge Dior Lip Balm with floral lip care and couture color. To be used alone or as a lip primer.,DIOR,"Beauty, All Makeup",2024-12-21 22:07:33.941522,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/26590473_fpx.tif?$filterlrg$&wid=327
"Oakley Unisex Snow Goggles, OO7120 - Macy's",https://www.macys.com/shop/product/oakley-unisex-snow-goggles-oo7120?ID=13175521,$88.00,"Catch our selection of Oakley glasses and sunglasses for men and women, perfect for those looking for high performance and exceptional design for everyday styles and sports eyewear.",Oakley,"Women's Clothing, Shoes & Accessories, Sunglasses",2024-12-21 22:07:45.543916,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/20063423_fpx.tif?$filterlrg$&wid=327
"Staub Cast Iron 11"" Skillet - Macy's",https://www.macys.com/shop/product/staub-cast-iron-11-skillet?ID=13115693,$249.99,"A sauté pan and frypan in one, this Staub cast iron skilled gives you classic heat performance plus an easy-care enameled interior that never needs seasoning. You'll enjoy its exceptional durability as well as its sleek style.",Staub,"Kitchen & Dining, Cookware",2024-12-21 22:07:48.998842,https://slimages.macysassets.com/is/image/MCY/products/4/optimized/19973064_fpx.tif?$filterlrg$&wid=327
Nautica Men's Original Relaxed Utility Pant  - Macy's,https://www.macys.com/shop/product/nautica-mens-original-relaxed-utility-pant?ID=19460325,,"Made with a relaxed, everyday fit, this utility pant from Nautica features multiple pockets, a hammer loop, and a metal belt at the back.",Nautica,"Men's Clothing & Accessories, Pants",2024-12-21 22:07:52.020341,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/29813802_fpx.tif?$filterlrg$&wid=327
Betsey Johnson Women's Tina Block Heel Dress Sandals - Macy's,https://www.macys.com/shop/product/betsey-johnson-womens-tina-block-heel-dress-sandals?ID=17802844,$119.00,"Get a fresh take on a classic silhouette with the TINA flared block heel. Treat your feet to an effortlessly stylish and comfortable evening with these heels. The toe strap and heel boast a playful twist on the classic shoe, adorned with varying cultivated pearl sizes for a uniquely charming touch.",Betsey Johnson,"Women's Clothing, Shoes & Accessories, Sandals",2024-12-21 22:07:55.559330,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/26992418_fpx.tif?$filterlrg$&wid=327
"Fiesta Medium Vase 9 5/8"" - Macy's",https://www.macys.com/shop/product/fiesta-medium-vase-9-5-8?ID=16705782,$59.99,Classic Art Deco styling adorns this beatiful Medium Flower Vase. Bring the outdoors in with fresh flowers or greenery Select from a variety of Fiesta colors.,Fiesta,"Home Decor, Vases",2024-12-21 22:07:58.857630,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/25602017_fpx.tif?$filterlrg$&wid=327
Tervis Tumbler Philadelphia Phillies 24 Oz Classic Arctic Tumbler - Macy's,https://www.macys.com/shop/product/tervis-tumbler-philadelphia-phillies-24-oz-classic-arctic-tumbler?ID=18018379,$21.99,"Quench your thirst while showcasing your enthusiasm for the Philadelphia Phillies with this durable Tervis Tumbler 24oz Classic Arctic Tumbler. It comes complete with a snap-on lid so you can avoid unfortunate spills, even when your excitement is through the roof.",Tervis Tumbler,"Kitchen & Dining, Kitchen Gadgets & Utensils",2024-12-21 22:08:31.470025,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/27322460_fpx.tif?$filterlrg$&wid=327
Men's '47 Brand Gray Baltimore Ravens Regional Headline Pullover Hoodie - Macy's,https://www.macys.com/shop/product/mens-47-brand-gray-baltimore-ravens-regional-headline-pullover-hoodie?ID=17808491,$55.99(25% off),Represent the local spirit of your Baltimore Ravens by wearing this '47 Brand Regional Headline hoodie. It features printed graphics specific to the team's location and fanbase. Fleece lining adds an extra layer of soft warmth to this Baltimore Ravens pullover.,'47 Brand,Sports Fan Shop,2024-12-21 22:08:35.183294,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/27192017_fpx.tif?$filterlrg$&wid=327
Charles David Womens Alon - Macy's,https://www.macys.com/shop/product/charles-david-womens-alon?ID=20609462,$99.00,Striking design enlightens this pointy-toe pump snugly secured with an elastic-inset slingback strap,Charles David,"Women's Clothing, Shoes & Accessories, Heels",2024-12-21 22:08:38.647143,https://slimages.macysassets.com/is/image/MCY/products/2/optimized/31048982_fpx.tif?$filterlrg$&wid=327
Fanatics Men's Taylor Hall Red Chicago Blackhawks 2025 NHL Winter Classic Premium Player Jersey - Macy's,https://www.macys.com/shop/product/fanatics-mens-taylor-hall-red-chicago-blackhawks-2025-nhl-winter-classic-premium-player-jersey?ID=20507189,$239.99,The 2025 NHL Winter Classic heads to iconic Wrigley Field for a showdown between two old rivals. Get geared up to watch the Chicago Blackhawks and St. Louis Blues duke it out with this Taylor Hall Premium Player Jersey from Fanatics. This gear features commemorative graphics that let you remember this epic matchup for years to come.,Fanatics,Sports Fan Shop,2024-12-21 22:10:27.827085,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30931455_fpx.tif?$filterlrg$&wid=327
HMD Fusion 128GB - Macy's,https://www.macys.com/shop/product/hmd-fusion-128gb?ID=20314762,$251.99(16% off),"Restyle, revamp, and unlock new functionalities with Fusion Outfits like wireless charging support, a ring light for your pictures, or rugged protection. Best of all, the toolkit for making Smart Outfits is open-source, so who knows what else the innovators out there will come up with.",HMD,Electronics,2024-12-21 22:11:21.451175,https://slimages.macysassets.com/is/image/MCY/products/5/optimized/30699805_fpx.tif?$filterlrg$&wid=327
Mango Men's USB Connection Water-Repellent Backpack - Macy's,https://www.macys.com/shop/product/mango-mens-usb-connection-water-repellent-backpack?ID=19096499,Now$69.99(42% off),"This Water-Repellent Backpack USB connection from Mango features a built-in port to charge devices, two side pockets for carrying bottles, 25 cm compartment for electronic devices and band handle for carrying bag.",MANGO,"Men's Clothing & Accessories, All Accessories",2024-12-21 22:11:55.040306,https://slimages.macysassets.com/is/image/MCY/products/7/optimized/30797757_fpx.tif?$filterlrg$&wid=327
Mango Women's Double-Breasted Wool Coat - Macy's,https://www.macys.com/shop/product/mango-womens-double-breasted-wool-coat?ID=20300431,$159.99,"This Double-breasted Wool Coat from Mango redefines casual wear. Made from polyester-mix fabric, this coat features straight and structured design, two side flap welt pockets, slit detail on the back, front closure, and peak lapel.",MANGO,"Women's Clothing, Shoes & Accessories, Coats & Jackets",2024-12-21 22:12:05.391017,https://slimages.macysassets.com/is/image/MCY/products/0/optimized/31016900_fpx.tif?$filterlrg$&wid=327
Anne Klein Women's Half-Sleeve Turtleneck Sweater - Macy's,https://www.macys.com/shop/product/anne-klein-womens-half-sleeve-turtleneck-sweater?ID=20620712,,"Cozy comfort and understated style from Anne Klein, this women's turtleneck is an effortlessly chic pick for any day of the week.",Anne Klein,"Women's Clothing, Shoes & Accessories, Sweaters",2024-12-21 22:12:38.633135,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/29342256_fpx.tif?$filterlrg$&wid=327
Wizard Of Oz Sims 4 Star Wars Journey To Batuu Bundle - Xbox One - Macy's,https://www.macys.com/shop/product/wizard-of-oz-sims-4-star-wars-journey-to-batuu-bundle-xbox-one?ID=16414334,$19.99,"Sims will be surrounded by the iconic sights and sounds of Star Wars. CREATE YOUR STAR WARS STORY - The Resistance, First Order, and scoundrels are fighting to control Batuu, but your Sims' actions determine who will succeed.",Electronic Arts,"Electronics, Video Games & Consoles",2024-12-21 22:12:41.818669,https://slimages.macysassets.com/is/image/MCY/products/8/optimized/24937928_fpx.tif?$filterlrg$&wid=327
DJI Mini 4 Pro ND Filters Set (ND 16/64/256) - Macy's,https://www.macys.com/shop/product/dji-mini-4-pro-nd-filters-set-nd-16-64-256?ID=19015418,$55.00,"Adapt to strong lighting conditions with ND16/64/256 filters and always be ready for the perfect shot. This set contains DJI ND16 Filter, DJI ND64 Filter, and DJI ND256 Filter.",DJI,Electronics,2024-12-21 22:13:09.177555,https://slimages.macysassets.com/is/image/MCY/products/6/optimized/28881326_fpx.tif?$filterlrg$&wid=327
Kodak 3.5x4.25” Premium Zink Photo Paper - 10 Sheets - Macy's,https://www.macys.com/shop/product/kodak-3.5x4.25-x201d-premium-zink-photo-paper-10-sheets?ID=10455625,$9.99,"Print gorgeous 3.5""x4.25"" pictures with a sizeable pack of Kodak Zink Printing Paper. The quality of this white paper will instantly give you prints with detailed, lively images. Load the print paper into your Kodak PRINTOMATIC, Smile, or Step cameras and start printing smudge-free, colorful photos.",Kodak,Electronics,2024-12-21 22:13:12.508466,https://slimages.macysassets.com/is/image/MCY/products/3/optimized/16102593_fpx.tif?$filterlrg$&wid=327
